105;FAREM FONDERIE ACCIAO REMANZACCO;;1 PIANO;;S.PERESSINI;HP;DeskJet 1220C;;;;;;;
106;FAREM FONDERIE ACCIAO REMANZACCO;;1 PIANO;;P.CALCATERRA;OKI;OKI MICROLINE 395;;;;;;;
107;FAREM FONDERIE ACCIAO REMANZACCO;;1 PIANO;;P.CALCATERRA;HP;LaserJet 1022;22/07/2015;49.512;;;;;
108;FAREM FONDERIE ACCIAO REMANZACCO;;1 PIANO;;EX TION;HP;DESIGNJET 130;;;;;;;
109;FAREM FONDERIE ACCIAO REMANZACCO;ACCIAIERIA;;;M.DI FANT;OKI;OKI C310;22/07/2015;49.600;36214;;;;
110;FAREM FONDERIE ACCIAO REMANZACCO;ACCIAIERIA;;;M.DI FANT;COMPUPRINT;COMPUPRINT 4/64;;;;;;;
111;FAREM FONDERIE ACCIAO REMANZACCO;ACCIAIERIA;;SPEDIZIONE;TOMADA;HP;LaserJet 1022;22/07/2015;139.663;;;;;
112;FAREM FONDERIE ACCIAO REMANZACCO;ACCIAIERIA;;SPEDIZIONE;TOMADA;COMPUPRINT;COMPUPRINT 4/41;;;;;;;
113;FAREM FONDERIE ACCIAO REMANZACCO;ACCIAIERIA;;COLLAUDO;D.STEFANINI;OKI;OKI 310dn;22/07/2015;88.893;57142;;;;
114;FAREM FONDERIE ACCIAO REMANZACCO;;;;M.CAVE;HP;DeskJet 5740;;;;;;;
115;FAREM FONDERIE ACCIAO REMANZACCO;;;;M.CAVE;REX-ROTARY;REX ROTARY 1808;;;;;;;
116;FAREM FONDERIE ACCIAO REMANZACCO;GPCOUNT;;GPCOUNT;GPCOUNT;KYOCERA;KM-2050;01/07/2015;287.399;;11/07/2015;288.851;;10.10.2.223
117;FLAG-IFI;;;UFFICIO PRODUZIONE  IFI;;HP;DeskJet 9800;20/07/2015;1;;20/08/2015;500;;
118;FLAG-IFI;;;UFFICIO PRODUZIONE  IFI;;KYOCERA;FS-C5100DN;20/07/2015;47.707;45748;;;;10.10.7.222
119;FLAG-IFI;;;UFFICIO PRODUZIONE  IFI;;HP;LaserJet 1320;20/07/2015;50.371;;;;;
120;FLAG-IFI;;;UFFICIO PRODUZIONE  IFI;ROTTAMATA;OLIVETTI;D-COPIA 25;;;;;;;
121;FLAG;;;UFFICIO MANUTENZIONE;;HP;LaserJet 1320;20/07/2015;15.678;;;;;
122;FLAG;;;UFFICIO R.S.P.P. GERARDUZ MASSIMO;;HP;DeskJet 1220C;20/07/2015;1;;20/08/2015;500;;
123;FLAG;;;UFFICIO COLLAUDO/FINITURA;NON TROVATA;KYOCERA;FS-6950DN;;;;;;;
124;FLAG;;;UFFICIO COLLAUDO/FINITURA;NON TROVATA;OLIVETTI;D-COPIA 23;;;;;;;
125;FLAG;;;UFFICIO RADIOGRAFICO;;OKI;OKI MICROLINE 395;;;;;;;
126;FLAG;;;UFFICIO RADIOGRAFICO;;HP;LaserJet 1320;20/07/2015;50.477;;;;;
127;FLAG;;;UFFICIO SPEDIZIONI;;BULL COMPUPRINT;BULL 4/66;;;;;;;
128;FLAG;;;UFFICIO SPEDIZIONI;;BULL COMPUPRINT;BULL 4/64;;;;;;;
129;FLAG;;;UFFICIO SPEDIZIONI;;HP;LaserJet P2035;20/07/2015;1;;20/08/2015;500;;
